Date,Open,High,Low,Close,Adj Close,Volume
2024-03-04,53600.0,54900.0,52900.0,53100.0,53100.0,1830422
2024-03-05,52600.0,52900.0,51600.0,51700.0,51700.0,1737655
2024-03-06,51400.0,52300.0,51400.0,51900.0,51900.0,902578
2024-03-07,52200.0,53700.0,52000.0,52900.0,52900.0,1425978
2024-03-08,53600.0,54200.0,53000.0,53200.0,53200.0,1466862
2024-03-11,53200.0,54800.0,52700.0,54600.0,54600.0,1047193
2024-03-12,55000.0,56000.0,54800.0,55800.0,55800.0,1388337
2024-03-13,55900.0,56000.0,54100.0,54600.0,54600.0,1088171
2024-03-14,54600.0,55800.0,54600.0,54900.0,54900.0,1792414
2024-03-15,55000.0,55000.0,53900.0,54100.0,54100.0,926038
2024-03-18,54200.0,54300.0,52700.0,53000.0,53000.0,1168724
2024-03-19,52700.0,52800.0,51700.0,52000.0,52000.0,1116159
2024-03-20,52400.0,53200.0,52300.0,52900.0,52900.0,869967
2024-03-21,53900.0,54200.0,52800.0,53600.0,53600.0,1359646
2024-03-22,53600.0,54300.0,53300.0,53600.0,53600.0,881388
2024-03-25,53400.0,54500.0,53100.0,53800.0,53800.0,717693
2024-03-26,54200.0,55200.0,53900.0,54900.0,54900.0,1170288
2024-03-27,54200.0,55200.0,53900.0,54800.0,54800.0,779339
2024-03-28,54800.0,55700.0,54400.0,54400.0,54400.0,955506
2024-03-29,54500.0,54900.0,53500.0,53700.0,53700.0,870563
2024-04-01,54100.0,54500.0,53600.0,53800.0,53800.0,775737
2024-04-02,53200.0,53200.0,51000.0,51200.0,51200.0,2856932
2024-04-03,51200.0,52000.0,51000.0,51000.0,51000.0,1332410
2024-04-04,51200.0,51500.0,49100.0,49300.0,49300.0,2658438
2024-04-05,48400.0,49100.0,48200.0,48750.0,48750.0,1559612
2024-04-08,48850.0,49750.0,48300.0,49150.0,49150.0,1006988
2024-04-09,49100.0,50100.0,48850.0,49250.0,49250.0,775713
2024-04-11,48450.0,48800.0,47700.0,48050.0,48050.0,2005085
2024-04-12,48050.0,48450.0,47650.0,47850.0,47850.0,946914
2024-04-15,47100.0,48000.0,46850.0,47750.0,47750.0,801117
2024-04-16,47200.0,47400.0,46600.0,46750.0,46750.0,1144123
2024-04-17,46700.0,48000.0,46700.0,46900.0,46900.0,1043806
2024-04-18,47350.0,50200.0,46900.0,49100.0,49100.0,2262675
2024-04-19,48350.0,49600.0,47700.0,48600.0,48600.0,1184289
2024-04-22,49450.0,49700.0,48450.0,49000.0,49000.0,641194
2024-04-23,48700.0,48750.0,47050.0,47500.0,47500.0,1782455
2024-04-24,48000.0,48400.0,47850.0,48100.0,48100.0,725443
2024-04-25,47500.0,47900.0,47100.0,47400.0,47400.0,847788
2024-04-26,47850.0,47900.0,47150.0,47300.0,47300.0,656101
2024-04-29,47650.0,48600.0,47600.0,48500.0,48500.0,950410
2024-04-30,48350.0,48850.0,48300.0,48600.0,48600.0,1015126
